scope,commodity,horizon,baseline,mae,rmse,mape,n
recent_year,Maize,4,ma4,213.7796506524318,353.1305853806594,7.815531021527779,562
recent_year,Maize,12,persistence,313.2181879808692,467.1700421313951,10.570825460384778,458
recent_year,Maize,12,seasonal_naive,563.8805044707839,741.335075291642,19.897588104776343,458
recent_year,Maize,12,ma4,335.8917223955084,485.52478188730134,11.30823005332115,458
recent_year,Paddy,1,persistence,107.86067826086948,289.64739343290427,4.171925512635823,437
recent_year,Paddy,1,seasonal_naive,1881.6281215562567,2393.6481535999196,44.36456000390474,317
recent_year,Paddy,1,ma4,282.9366809450828,502.7220904987896,10.996549397543676,435
recent_year,Paddy,2,persistence,182.0359018563356,399.7477280465003,7.102135724926158,413
recent_year,Paddy,2,seasonal_naive,1909.3625094922736,2423.0759011764935,44.45575843760978,302
recent_year,Paddy,2,ma4,329.5552216274666,543.2047610544088,12.80380012720001,411
recent_year,Paddy,4,persistence,305.61852576576547,519.6959455117327,11.82748243018255,370
recent_year,Paddy,4,seasonal_naive,1975.200585592185,2489.474694955716,44.659416458996134,273
recent_year,Paddy,4,ma4,414.98234893104456,632.6946479044865,15.662663404914735,369
recent_year,Paddy,12,persistence,633.0178962962958,919.7237737742462,18.93447699390656,225
recent_year,Paddy,12,seasonal_naive,2283.6428712121206,2783.7886594010156,43.641687208976364,176
recent_year,Paddy,12,ma4,653.0369538690472,938.2380564020525,18.887811326046197,224
recent_year,Rice,1,persistence,101.60227783613445,368.7724405024204,1.3377099950346154,2176
recent_year,Rice,1,seasonal_naive,1445.455566502463,2123.714824711138,17.991458940151347,2030
recent_year,Rice,1,ma4,264.42137860974276,663.9909504099228,3.475678826200488,2175
recent_year,Rice,2,persistence,173.09632669770787,520.7563420356154,2.289714890778417,2117
recent_year,Rice,2,seasonal_naive,1434.5215159131396,2106.744277680316,17.792565127465014,1978
recent_year,Rice,2,ma4,318.234631289945,744.2726575140474,4.1414281436678655,2116
recent_year,Rice,4,persistence,291.46612300596723,729.9576771793227,3.8802828338600346,2003
recent_year,Rice,4,seasonal_naive,1414.5499631827172,2070.8411673836613,17.478803057756423,1878
recent_year,Rice,4,ma4,406.07531601731597,862.3872478452793,5.264536441433896,2002
recent_year,Rice,12,persistence,552.8461979411233,1012.3044527771134,7.160765114436559,1582
recent_year,Rice,12,seasonal_naive,1352.901419326241,1940.8375937684416,16.423273138090856,1504
recent_year,Rice,12,ma4,606.1995135086293,1011.3121632055469,7.769282444018649,1581
recent_year,Seed Cotton (Phutti),1,persistence,169.08543285179243,480.070320406367,2.3858225939093014,178
recent_year,Seed Cotton (Phutti),1,seasonal_naive,1726.3378426966292,2612.705421961517,23.99417294600369,178
recent_year,Seed Cotton (Phutti),1,ma4,471.53673247726056,1006.2578830915106,6.5952440547541595,178
recent_year,Seed Cotton (Phutti),2,persistence,292.4634575327207,703.2422655162743,4.129179144923249,171
recent_year,Seed Cotton (Phutti),2,seasonal_naive,1728.5492553606239,2626.70663547114,23.995038151965534,171
recent_year,Seed Cotton (Phutti),2,ma4,562.200993038151,1140.4584991377474,7.822952762593319,171
recent_year,Seed Cotton (Phutti),4,persistence,450.3979484379739,920.6244938480967,6.4432460153508995,157
recent_year,Seed Cotton (Phutti),4,seasonal_naive,1724.844263269639,2624.1877650607894,24.038351039482887,157
recent_year,Seed Cotton (Phutti),4,ma4,645.4200124355474,1272.840103862328,9.004285349060073,157
recent_year,Seed Cotton (Phutti),12,persistence,645.3133333333333,1113.454708051731,9.651375668812044,107
recent_year,Seed Cotton (Phutti),12,seasonal_naive,1676.0842367601244,2485.825437274139,23.591697481708145,107
recent_year,Seed Cotton (Phutti),12,ma4,791.2509657320869,1347.1555631217518,11.558568054332294,107
recent_year,Sugar,1,persistence,1.3518118391602991,3.6874469269294474,1.169954735481681,617
recent_year,Sugar,1,seasonal_naive,22.15497480126572,26.659244886211276,18.023553363871677,617
recent_year,Sugar,1,ma4,3.6187692367060253,7.100976921273597,3.1356862682759896,617
recent_year,Sugar,2,persistence,2.3726595593461255,5.598396430211273,2.055694680275388,603
recent_year,Sugar,2,seasonal_naive,22.062420713890862,26.527309542040165,17.970552275698033,603
recent_year,Sugar,2,ma4,4.433817282634443,8.3146584243159,3.8385336971940993,603
recent_year,Sugar,4,persistence,4.202942774327119,8.45988833880529,3.636041356957261,575
recent_year,Sugar,4,seasonal_naive,21.85662824016563,26.235236585206856,17.852972522221865,575
recent_year,Sugar,4,ma4,5.9032947826086914,10.110334004344502,5.11519317379238,575
recent_year,Sugar,12,persistence,8.925215808711538,12.728607124345421,7.619707695925476,469
recent_year,Sugar,12,seasonal_naive,21.293742816529594,25.66207840355477,17.60357660372212,469
recent_year,Sugar,12,ma4,10.015536348867899,13.625582298518086,8.600186178474143,469
recent_year,Wheat,1,persistence,79.22351935914553,175.3854010940342,2.355106862860904,535
recent_year,Wheat,1,seasonal_naive,1161.098562340967,1534.47481907533,32.63100010467455,524
recent_year,Wheat,1,ma4,225.40371829105473,401.3426981246893,6.617671071922654,535
recent_year,Wheat,2,persistence,140.4312096332786,266.02533201334245,4.146197320817217,522
recent_year,Wheat,2,seasonal_naive,1160.6169401041666,1534.1959285642452,32.51400984024738,512
recent_year,Wheat,2,ma4,273.13382868089764,447.7979984716458,8.055477050046399,522
recent_year,Wheat,4,persistence,253.95143625192014,402.0562098683582,7.497660895901187,496
recent_year,Wheat,4,seasonal_naive,1158.420325917252,1532.534903765806,32.216185207125285,488
recent_year,Wheat,4,ma4,363.6961117511521,529.4398879932976,10.756201232364461,496
recent_year,Wheat,12,persistence,574.5038386783284,704.0700348689672,16.976064037689472,392
recent_year,Wheat,12,seasonal_naive,1138.4993464528668,1508.9176565571338,30.47555010153211,392
recent_year,Wheat,12,ma4,637.9549477648202,794.5711777803517,18.65455710838762,392
