series,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Sugar | - | RahimYarKhan,52,53,52,52,52,40,48,53,52,42,44,0,0,0,0,0,0,0
Sugar | - | Rawalpindi,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Sugar | - | Sargodha,52,53,52,52,50,33,52,53,52,51,46,42,47,52,52,48,52,21
Sugar | - | Sialkot,40,53,46,49,38,41,52,53,52,52,52,52,53,52,52,52,47,11
Wheat | - | BahawalNagar,52,53,50,52,26,0,0,0,41,18,14,5,5,0,0,6,1,0
Wheat | - | BahawalPur,52,34,17,36,52,52,46,40,52,52,39,13,21,51,47,52,52,22
Wheat | - | Chichawatni,51,53,52,52,52,35,25,34,31,16,6,11,53,52,52,52,52,22
Wheat | - | Faisalabad,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Wheat | - | Gujranwala,13,17,29,49,52,37,30,53,52,52,52,52,53,52,33,11,0,0
Wheat | - | Jhang,52,53,52,51,19,0,0,0,21,0,0,0,0,0,47,2,0,0
Wheat | - | Lahore,0,0,0,0,0,0,5,35,0,0,22,20,0,0,0,0,0,0
Wheat | - | Layyah,52,53,52,52,47,52,52,53,50,52,52,52,53,52,52,52,52,22
Wheat | - | Multan,35,53,52,52,52,52,52,53,52,52,52,52,53,52,6,35,45,6
Wheat | - | Okara,52,53,41,52,52,42,52,53,50,37,52,35,37,27,14,32,8,0
Wheat | - | RahimYarKhan,52,53,50,49,38,37,48,53,52,32,31,38,53,52,52,31,40,15
Wheat | - | Rawalpindi,52,49,29,48,42,40,0,20,8,6,33,29,0,0,0,0,12,22
Wheat | - | Sargodha,52,53,52,52,50,33,52,53,52,51,48,40,50,52,52,52,52,21
Wheat | - | Sialkot,40,45,26,45,25,6,18,0,26,34,20,0,0,0,47,52,52,7
