commodity,variety,city,unit,start,end,span_weeks,present_weeks,filled_weeks,winsorized_weeks,coverage_pct,price_min,price_max,price_mean,price_median
Rice,Basmati Super New,Jhang,Rs/40Kg (Maund),2009-06-12,2025-09-26,851,291,35,7,34.2,2350.0,11751.09,5819.01,4040.0
Rice,Basmati Super New,Lahore,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,907,2,12,99.8,2100.0,13000.0,5537.31,4470.0
Rice,Basmati Super New,Layyah,Rs/40Kg (Maund),2009-01-02,2026-01-23,891,426,61,10,47.8,2171.47,9972.8,3323.9,3000.0
Rice,Basmati Super New,Multan,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,906,3,20,99.7,2080.09,12916.0,5300.82,4000.0
Rice,Basmati Super New,Okara,Rs/40Kg (Maund),2009-01-02,2026-04-03,901,761,47,17,84.5,2464.0,12218.6,5270.73,4290.0
Rice,Basmati Super New,RahimYarKhan,Rs/40Kg (Maund),2009-01-02,2025-12-12,885,443,106,7,50.1,1620.0,11409.09,4531.4,3390.0
Rice,Basmati Super New,Rawalpindi,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,767,33,8,84.4,2259.96,12500.0,5142.1,4240.0
Rice,Basmati Super New,Sargodha,Rs/40Kg (Maund),2009-01-02,2026-05-22,908,731,126,15,80.5,1958.51,11750.0,5055.22,3950.0
Rice,Basmati Super New,Sialkot,Rs/40Kg (Maund),2009-01-16,2026-05-29,907,722,121,13,79.6,2192.6,12300.0,5172.04,3960.0
Rice,Basmati Super Old,BahawalNagar,Rs/40Kg (Maund),2009-01-02,2020-02-28,583,257,80,8,44.1,1770.83,6309.04,3682.72,3633.33
Rice,Basmati Super Old,BahawalPur,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,618,121,7,68.0,1900.0,14200.0,6208.0,4400.0
Rice,Basmati Super Old,Chichawatni,Rs/40Kg (Maund),2009-03-06,2020-05-01,583,505,60,6,86.6,2563.36,6200.0,4268.56,4400.0
Rice,Basmati Super Old,Faisalabad,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,827,12,18,91.0,2123.8,13126.64,5706.52,4860.0
Rice,Basmati Super Old,Gujranwala,Rs/40Kg (Maund),2009-01-02,2023-05-26,752,532,45,5,70.7,2300.0,13500.0,4644.14,4525.0
Rice,Basmati Super Old,Jhang,Rs/40Kg (Maund),2009-01-02,2025-09-26,874,191,20,3,21.9,2115.0,12200.0,7434.71,9423.33
Rice,Basmati Super Old,Lahore,Rs/40Kg (Maund),2009-06-12,2026-05-29,886,884,2,9,99.8,2681.33,13600.0,6406.84,5100.0
Rice,Basmati Super Old,Layyah,Rs/40Kg (Maund),2009-01-02,2026-01-23,891,343,34,0,38.5,2320.0,10700.0,3418.38,3080.0
Rice,Basmati Super Old,Multan,Rs/40Kg (Maund),2009-01-02,2025-05-23,856,763,37,13,89.1,2064.95,12350.0,4855.25,4272.5
Rice,Basmati Super Old,Okara,Rs/40Kg (Maund),2009-06-12,2025-11-07,857,799,18,16,93.2,2500.0,13894.67,5931.84,5006.67
Rice,Basmati Super Old,RahimYarKhan,Rs/40Kg (Maund),2009-04-17,2025-11-07,865,439,73,8,50.8,2555.53,11600.0,4240.61,3899.5
Rice,Basmati Super Old,Rawalpindi,Rs/40Kg (Maund),2009-06-19,2026-05-29,885,762,13,7,86.1,2840.0,14900.0,6734.66,5400.0
Rice,Basmati Super Old,Sargodha,Rs/40Kg (Maund),2009-06-12,2026-05-22,885,333,157,5,37.6,2139.0,11700.0,4919.1,4450.0
Rice,Basmati Super Old,Sialkot,Rs/40Kg (Maund),2009-06-19,2026-03-13,874,668,97,13,76.4,2462.72,13560.0,5508.17,4700.0
Rice,IRRI,BahawalNagar,Rs/40Kg (Maund),2009-01-02,2026-02-20,895,287,83,6,32.1,1083.9,5740.0,1609.45,1482.0
Rice,IRRI,BahawalPur,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,744,77,7,81.8,960.0,6600.0,2320.41,1472.0
Rice,IRRI,Chichawatni,Rs/40Kg (Maund),2009-01-09,2019-05-03,539,447,29,3,82.9,1000.0,2200.0,1364.66,1300.0
Rice,IRRI,Faisalabad,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,896,13,12,98.6,940.64,5700.0,2294.94,1536.3
Rice,IRRI,Jhang,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,372,34,9,40.9,1050.0,5732.35,2627.09,1600.0
Rice,IRRI,Layyah,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,426,28,5,46.9,1100.0,3740.0,1614.03,1460.0
Rice,IRRI,Multan,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,906,3,20,99.7,950.18,5888.0,2174.72,1510.0
Rice,IRRI,Okara,Rs/40Kg (Maund),2009-01-02,2024-03-15,794,788,6,15,99.2,1070.0,7860.47,1907.91,1500.0
Rice,IRRI,RahimYarKhan,Rs/40Kg (Maund),2009-01-02,2025-02-28,844,517,72,10,61.3,968.0,5560.0,1626.4,1440.0
Rice,IRRI,Rawalpindi,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,909,0,10,100.0,1056.32,6200.0,2493.51,1740.0
Rice,IRRI,Sargodha,Rs/40Kg (Maund),2009-01-02,2012-07-20,186,86,22,2,46.2,865.83,1737.6,1219.16,1111.8
Rice,Kainat New,BahawalNagar,Rs/40Kg (Maund),2017-02-24,2026-02-20,470,11,26,1,2.3,3526.67,9438.56,4559.74,4430.0
Rice,Kainat New,BahawalPur,Rs/40Kg (Maund),2022-12-09,2026-03-06,170,28,27,2,16.5,4783.2,12244.6,9479.78,9520.0
Rice,Kainat New,Chichawatni,Rs/40Kg (Maund),2017-01-13,2019-11-08,148,90,14,2,60.8,3800.3,5500.0,4900.06,4960.0
Rice,Kainat New,Faisalabad,Rs/40Kg (Maund),2016-12-30,2026-05-29,492,388,12,4,78.9,3060.0,12063.2,7964.29,9250.0
Rice,Kainat New,Gujranwala,Rs/40Kg (Maund),2022-11-18,2022-11-18,1,1,0,0,100.0,8000.0,8000.0,8000.0,8000.0
